Job Title,Job Salary,Job Experience Required,Key Skills,Role Category,Functional Area,Industry
Software Developer, Not Disclosed by Recruiter ,4 - 7 yrs, Computer science| Continuous improvement,Programming & Design,"IT Software - Application Programming , Maintenance","Internet, Ecommerce"
Medical Representative,"2,25,000 - 7,00,000 PA.",0 - 3 yrs, pharmaceutical| medical| Pharma| medical billing| healthcare,Medical Professional,"Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology","Pharma, Biotech, Clinical Research"
Software Developer, Not Disclosed by Recruiter ,3 - 5 yrs, CSS| Wordpress| MySQL| Javascript| PHP| HTML| JQuery| SEO| Ajax| Hosting,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services"
"Suguna Group was founded in the year 1984 with the inception of Suguna Foods in poultry sector by first generation entrepreneurs. Suguna is a USD 1.3 billion (INR 9,000 cr) group and leader in Indian protein food/animal farming industry. With an employee footprint of more than 8500, the group is in to poultry, dairy, processed protein food, animal nutrition, healthcare & biologicals. Group companies are Suguna Foods, Suguna Dairy, Globion, Aminovit Srilanka, Suguna Bangladesh and Kenya. Suguna Foods is the largest poultry enterprise in India and it ranks among the top 10 worldwide. The fully integrated operations cover broiler and layer farming, hatcheries, feed mills, processing plants, vaccines and exports. Suguna markets live broiler chicken, value added eggs, ready-to-eat and ready-to-cook chicken products. With the intent to provide consumers with fresh, clean and hygienic packed chicken, Suguna has set up a chain of modern retail outlets in the name of Ã¢â‚¬ËœDaily FresshÃ¢â‚¬â„¢. Suguna Foods pioneered contract farming in poultry industry, and now has presence in 21 states in India. Suguna as a brand is known for its quality products which has been well accepted by the consumers. Suguna Group always believes in energising rural India and providing nutritional security to India and is proud to associate with the mission of improving livelihood of 38,000 farmers","INR 1,25,000 - 2,50,000 PA.",0 - 2 Years,mechanical operation|preventive maintenance|mechanical|engineeringbreak down maintenance|mechanical maintenance,"Suguna Group was founded in the year 1984 with the inception of Suguna Foods in poultry sector by first generation entrepreneurs. Suguna is a USD 1.3 billion (INR 9,000 cr) group and leader in Indian protein food/animal farming industry. With an employee footprint of more than 8500, the group is in to poultry, dairy, processed protein food, animal nutrition, healthcare & biologicals. Group companies are Suguna Foods, Suguna Dairy, Globion, Aminovit Srilanka, Suguna Bangladesh and Kenya. Suguna Foods is the largest poultry enterprise in India and it ranks among the top 10 worldwide. The fully integrated operations cover broiler and layer farming, hatcheries, feed mills, processing plants, vaccines and exports. Suguna markets live broiler chicken, value added eggs, ready-to-eat and ready-to-cook chicken products. With the intent to provide consumers with fresh, clean and hygienic packed chicken, Suguna has set up a chain of modern retail outlets in the name of Ã¢â‚¬ËœDaily FresshÃ¢â‚¬â„¢. Suguna Foods pioneered contract farming in poultry industry, and now has presence in 21 states in India. Suguna as a brand is known for its quality products which has been well accepted by the consumers. Suguna Group always believes in energising rural India and providing nutritional security to India and is proud to associate with the mission of improving livelihood of 38,000 farmers",Other,FMCG / Foods / Beverage
Software Developer, Not Disclosed by Recruiter ,2 - 6 yrs, javascript| html| ajax| jquery| php mysql| smarty| api| analytical| third party| software development life cycle,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services"
Associate/Senior Associate -(NonTechnical),Not Disclosed by Recruiter,4 - 7 Years,Renewable energy|Power distribution|Power sector|Banking|Electricals,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations",Accounting / Finance
Proof Reader, Not Disclosed by Recruiter ,2 - 7 yrs, spanish language expert| chinese| spanish| medical,Journalist/Writer,"Journalism , Editing , Content","Medical, Healthcare, Hospitals"
Associate/Senior Associate -(NonTechnical), Not Disclosed by Recruiter ,1 - 5 yrs, Sales Associate| support| Voice process| Issue| Senior| Technical| Inbound calls| Bonus| US shift| Software,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services"
Associate/Senior Associate -(Technical), Not Disclosed by Recruiter ,1 - 5 yrs, MCSE| Database| Support Engineer,Back Office/Web/Transaction Processing,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services"
Software Developer,"1,25,000 - 5,00,000 PA.",1 - 3 yrs, SSRS| SQL Server| Stored Procedures| SQL Development| MS SQL,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services"
Software Developer, Not Disclosed by Recruiter ,3 - 8 yrs, GIT| Linux| Machine Learning| Python,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services"
Nurse, Not Disclosed by Recruiter ,2 - 5 yrs, GNM| Business Executive,Medical Professional,"Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology","Internet, Ecommerce"
Direct Marketing Executive, Not Disclosed by Recruiter ,2 - 7 yrs, institutions| relationships| marketing executive| customer| customers| implementation| company| site| product,Marketing,"Marketing , Advertising , MR , PR , Media Planning","IT-Software, Software Services"
HR Executive, INR As per Co. Norms,2 - 5 Years,Recruitment|Volume Hiring|HR|BPO Hiring|Sourcing|Interviewing|Onboarding|Staffing|Orientation|Human Resource Management,HR/ Recruitment / IR,"HR , Recruitment , Administration , IR",BPO / Call Centre / ITES
Software Developer,"10,00,000 - 13,00,000 PA.",4 - 7 yrs, Java| CSS| Rest| Spring Mvc| Javascript| HTML| JPA| Spring Boot| JQuery| Web Services,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services"
Head/VP/GM-Finance/Audit,"15,00,000 - 18,00,000 PA.",10 - 17 yrs, financial analysis| financial planning| taxation| VP Finance,Senior Management,"Accounts , Finance , Tax , Company Secretary , Audit","Export, Import"
Content Developer, Not Disclosed by Recruiter ,1 - 3 yrs, Publishing| SEO| Content management| Social media| Wordpress| Management systems| Research| Brand awareness| Web technologies| Journalism,Content Development,"Journalism , Editing , Content","Advertising, PR, MR, Event Management"
Head/VP/GM-CFO/Financial Controller,"11,00,000 - 18,00,000 PA.",7 - 10 yrs, Auditing| Audit Planning| Risk Assessment| Banking| Credit Risk| Credit Policy,Senior Management,"Accounts , Finance , Tax , Company Secretary , Audit","Banking, Financial Services, Broking"
Software Developer, Not Disclosed by Recruiter ,3 - 8 yrs, c++| development| gaming| C| software| HTML| ios| opengl| iphone| design| MySQL| JavaScript,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services"
Sales Executive/Officer, Not Disclosed by Recruiter ,1 - 4 yrs, business development| e - commerce| sales executive| sales associate| sales officer| sales| field sales| mba fresher| fresher| new product development| channel sales,Retail Sales,"Sales , Retail , Business Development","Internet, Ecommerce"
Software Developer,"9,00,000 - 11,00,000 PA.",3 - 6 yrs, rest| java| sql| oop| angularjs| ui development| oracle,Programming & Design,"IT Software - Application Programming , Maintenance","Banking, Financial Services, Broking"
Software Developer, Not Disclosed by Recruiter ,0 - 1 yrs, Javascript| PHP| HTML| Visualization| jQuery| web| Programming| Commerce| Web designing| Application| Android,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services"
Team Lead/Technical Lead, Not Disclosed by Recruiter ,3 - 5 yrs, Process automation| Commodity Markets| Artificial Intelligence| Market intelligence| Machine learning| Corporate| Relationship| Operations| Analytics| Robotics,Programming & Design,IT Software - QA & Testing,"IT-Software, Software Services"
Sales/Business Development Manager, Not Disclosed by Recruiter ,5 - 10 yrs, IT Sales| Marketing Campaigns| Social Media| Btl| Marketing Management| Digital Marketing| Dealer Sales| Channel Partners| Communication Skills| Process Flow,Institutional Sales,"Sales , Retail , Business Development","Banking, Financial Services, Broking"
Software Developer, Not Disclosed by Recruiter ,10 - 12 yrs, Android| Troubleshooting| Middleware| Firmware| SOC| Linux kernel| Bluetooth| Computer science| Test scripts| Test strategy,Programming & Design,"IT Software - Embedded , EDA , VLSI , ASIC , Chip Design","Semiconductors, Electronics"
Associate/Senior Associate -(NonTechnical), Not Disclosed by Recruiter ,1 - 4 yrs, Outbound| Antivirus| Technical support| Voice process| Technical Support Executive| US shift| Inbound voice process| Customer Service Executive| Comp| International BPO,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services"
Sales Executive/Officer, Not Disclosed by Recruiter ,0 - 1 yrs, Sales Executive| Cold calling| market research| customer profiling| sales executive| marketing executive| distributors| Business Development| sales strategy,Retail Sales,"Sales , Retail , Business Development","Industrial Products, Heavy Machinery"
Recruitment Executive, Not Disclosed by Recruiter ,0 - 1 yrs, Administration| HR| Recruitment| Recruitment Executive| IR,HR/ Recruitment / IR,"HR , Recruitment , Administration , IR","Recruitment, Staffing"
Technical Architect, Not Disclosed by Recruiter ,8 - 10 yrs, Web development| Analytics| Healthcare| Software design| Monitoring| JIRA| Computer science| Backend| Inside sales| Cloud,Programming & Design,"IT Software - Application Programming , Maintenance","BPO, Call Centre, ITeS"
Branch Manager, Not Disclosed by Recruiter ,5 - 9 yrs, Team Management| Advisory Services| General Insurance| Sales Initiatives| Financial Products| Distributor Sales| Branch Sales| Sales Development| Motor Insurance| Marketing,General Insurance,"Financial Services , Banking , Investments , Insurance",Insurance
Sales Executive/Officer, Not Disclosed by Recruiter ,0 - 5 yrs, clinical pharmacy| mr| sales officer| territory executive| business development| sales executive,Retail Sales,"Sales , Retail , Business Development","Pharma, Biotech, Clinical Research"
Purchase/Vendor Development Manager, Not Disclosed by Recruiter ,7 - 12 yrs, sap| procurement| scm| material| sheetmetal| sheet metal| purchase| VD| vendor development| sourcing| BOP,Purchase/Material Management,"Supply Chain , Logistics , Purchase , Materials","Industrial Products, Heavy Machinery"
Software Developer, Not Disclosed by Recruiter ,3 - 6 yrs, Angularjs| CSS| Core Java| DOM| Computer Science| Javascript| HTML| Spring| Ajax,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services"
Other, Not Disclosed by Recruiter ,2 - 7 yrs, data analysis| Admissions| placements| Help Desk| access controls| Asset Management,Other,"Teaching , Education , Training , Counselling","Education, Teaching, Training"
Sales/Business Development Manager, Not Disclosed by Recruiter ,4 - 8 yrs, marketing| bdm| sales| business development| it sales| ncr| hardware sales,Retail Sales,"Sales , Retail , Business Development","Recruitment, Staffing"
Associate/Senior Associate -(Technical), Not Disclosed by Recruiter ,2 - 7 yrs, Outbound| Night shift| Service| English| process| Technical| Technical support| Inbound calls| Voice process| Group,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services"
Service/Maintenance Engineer,"3,00,000 - 5,00,000 PA.",5 - 10 yrs, RT| PT| MPI| NDT Inspection| NDT Level| Diploma| Quality Inspection| Level Ii| Inspection Engineering| Mechanical Engineering| UT,Production/Manufacturing/Maintenance,"Production , Manufacturing , Maintenance","Oil and Gas, Energy, Power, Infrastructure"
Associate/Senior Associate -(NonTechnical), Not Disclosed by Recruiter ,2 - 5 yrs, Customer service| Healthcare| Customer relationship| Windows| Graphic designing| CAD| Illustrator| Customer satisfaction| Application software,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","Printing, Packaging"
Associate/Senior Associate -(NonTechnical),"1,25,000 - 2,25,000 PA.",0 - 1 yrs, BPO| any graduate| Voice Process| Voice Support,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS"
Associate/Senior Associate -(Technical), Not Disclosed by Recruiter ,0 - 3 yrs, Outbound| Antivirus| Comp| Technical support| Technical Support Associate| technical sales associate| Sales| Technical Associate| Voice support| Inbound calls,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services"
Head/VP/GM-Production/Manufacturing/Maintenance,"15,00,000 - 22,50,000 PA.",12 - 18 yrs, Equipment Maintenance| Hydraulics| Inventory Management| Management Skills| Maintenance Head| Electricals,Senior Management,"Production , Manufacturing , Maintenance","Automobile, Auto Anciliary, Auto Components"
Software Developer, Not Disclosed by Recruiter ,2 - 6 yrs, hive| apache| itil process| hadoop| big data| aws| core java,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services"
Sales/Business Development Manager,"6,00,000 - 11,00,000 PA.",3 - 8 yrs, motor insurance| insurance sales| insurance broking| general insurance,Corporate Sales,"Sales , Retail , Business Development",Insurance
Team Lead/Technical Lead, Not Disclosed by Recruiter,3 - 8 Years,SQL|Hibernate|Multithreading|OOAD|Eclipse|Business process|Outsourcing|Version control|Memory management|Control system,Programming & Design,"IT Software - Application Programming , Maintenance",IT-Software / Software Services
Senior Design Engineer, Not Disclosed by Recruiter ,2 - 6 yrs, CATIA| AutoCAD| Pressure vessels| Mechanical| Primavera| PSCAD,Engineering Design,"Engineering Design , R&D","Strategy, Management Consulting Firms"
Purchase/Vendor Development Manager, Not Disclosed by Recruiter ,6 - 9 yrs, Team Management| Project Execution| Program Management| Customer Experience| Data Analytics| Supply Chain| Operations Planning,Purchase/Material Management,Purchase / Logistics / Supply Chain,"Internet, Ecommerce"
Sales/Business Development Manager, Not Disclosed by Recruiter ,4 - 9 yrs, business development management| Sales Management,Retail Sales,"Sales , Retail , Business Development","Real Estate, Property"
Associate/Senior Associate -(Technical), Not Disclosed by Recruiter ,0 - 1 yrs, Technical support| Outbound| Comp| Technical| Domestic BPO| US shift| process| Inbound calls| Bonus,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services"
Front Office/Guest Relations Executive/Manager,"1,50,000 - 2,75,000 PA.",0 - 1 yrs, Operations| Inventory Management| Vendor Management| Bhm| Hospitality| Front Office| Guest Relations| Hospitality Management| hotel management,Front Office/Customer Care,"Hotels , Restaurants","Travel , Hotels , Restaurants , Airlines , Railways"
Software Developer, Not Disclosed by Recruiter ,3 - 8 yrs, financial s| windows| android| mobile development,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services"
Software Developer, Not Disclosed by Recruiter ,3 - 8 yrs, Hardware Board Design| Mixed Signal| Design Engineering,Programming & Design,"IT Software - Embedded , EDA , VLSI , ASIC , Chip Design","IT-Software, Software Services"
Head/VP/GM-Operations, Not Disclosed by Recruiter ,5 - 10 yrs, environment| functional| operations| business| verbal communication| coaching| analytical skills,Senior Management,"ITES , BPO , KPO , LPO , Customer Service , Operations","Security, Law Enforcement"
Recruitment Executive,"2,25,000 - 3,00,000 PA.",1 - 3 yrs, Screening| Linkedin| IT Recruitment| hr recruitment| Database| recruiter| Sourcing| Interviewing| Recruitment,HR/ Recruitment / IR,"HR , Recruitment , Administration , IR","BPO, Call Centre, ITeS"
Software Developer, Not Disclosed by Recruiter ,2 - 6 yrs, java| linux| server| development| eclipse ide| c| technical| mobile| eclipse| objective c| usability| ui| design| debugging| backend| developer| programming| applications,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services"
Counter Sales, Not Disclosed by Recruiter ,0 - 2 yrs, Retail Sales| Sales Executive Activities| Revenue Generation| Inhouse Sales,Retail Sales,"Sales , Retail , Business Development","Retail, Wholesale"
Associate/Senior Associate -(NonTechnical),"2,00,000 - 3,00,000 PA.",0 - 5 yrs, BPO| Customer Support| international bpo| Voice Process| International Voice| International Voice Process,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS"
Team Lead/Technical Lead, Not Disclosed by Recruiter ,5 - 7 yrs,J2Ee| Core Java| jQuery| ERP| Tomcat| Eclipse| Open source| Selenium| Computer science| OFBIZ,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services"
Physics Teacher, Not Disclosed by Recruiter ,4 - 6 yrs, Counselor| Mentor| Trainer| Advisor| Teaching,Subject Teachers (TGT/PGT),"Teaching , Education , Training , Counselling","Education, Teaching, Training"
Sales/Business Development Manager,"7,50,000 - 13,00,000 PA.",12 - 15 yrs, lead generation| branding| business development| Sales Management| market research| competitive intelligence| market analysis| Marketing,Institutional Sales,"Sales , Retail , Business Development","Chemicals, PetroChemical, Plastic, Rubber"
Design Engineer, Not Disclosed by Recruiter ,2 - 7 yrs, Wireless| Automation| Simulation| Networking| Aerospace| FPGA| Coding| System verilog| Automotive| Physical design,Engineering Design,"Engineering Design , R&D","IT-Software, Software Services"
Recruitment Executive,"1,75,000 - 3,00,000 PA.",1 - 5 yrs, hr| recruitment| recruiter| hiring| head hunting| leadership| mass hiring| volume hiring| bulk hiring| team leader| senior| tl| non it| it recruitment| technical hiring| it recruiter| bfsi| engineering| manufacturing| insurance| bpo| IT,HR/ Recruitment / IR,"HR , Recruitment , Administration , IR","Recruitment, Staffing"
Accounts Executive/Accountant, Not Disclosed by Recruiter ,0 - 3 yrs, Associate,Accounts,"Accounts , Finance , Tax , Company Secretary , Audit","Accounting, Finance"
Software Developer, Not Disclosed by Recruiter ,2 - 7 yrs, javascript| html| sql server| ajax| jquery| soa| oop| english| proactive| asp net c,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services"
Sales/Business Development Manager, Not Disclosed by Recruiter ,5 - 10 yrs, marketing executive| Sales| distributors| customer profiling| sales strategy| market research| Business Development| sales executive,Corporate Sales,"Sales , Retail , Business Development",Publishing
Logistics Executive,"2,00,000 - 2,25,000 PA.",1 - 2 yrs, QMS| Impex| Environmental Management System| Warehouse Management System| Export Import Logistics,Logistics,Purchase / Logistics / Supply Chain,"Automobile, Auto Anciliary, Auto Components"
Software Developer, Not Disclosed by Recruiter ,2 - 7 yrs,Java| core java| J2EE| Hibernate| Spring| LDAP| ADFS| Json| SOAP| jQuery| REST| Javascript| Java Web Services| Java Api| Advanced Java| MVC| Web Services| Open Source| SOA| Cloud| spring integration,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services"
Software Developer,"3,00,000 - 8,00,000 PA.",2 - 3 yrs, spring boot| spring security| spring mvc,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services"
Technical Architect, Not Disclosed by Recruiter ,8 - 12 yrs, Dynamics CRM| .Net| Azure| Visual Studio| Microsoft Dynamics| Solution Management| Root Cause| microservices| .NET development,Programming & Design,"IT Software - ERP , CRM","IT-Software, Software Services"
Sales/Business Development Manager,"6,00,000 - 7,00,000 PA.",2 - 6 yrs, Marketing Strategy| Strategic Thinking| Interpersonal Communication| Sales| Promotions| Accounting| Account Management| Team Leading| Business Development Management| Advertising,Retail Sales,"Sales , Retail , Business Development","Media, Entertainment, Internet"
Accounts Executive/Accountant," INR Both Side Cab, Incentives",0 - 2 Years,O2C|OTC|Order Management|Credit Management|Communication Skills,Accounts,"Accounts , Finance , Tax , Company Secretary , Audit",Accounting / Finance
Architect, Not Disclosed by Recruiter ,2 - 7 yrs, visualization| m e p| modeling| drafting| design development| drawings| cad| preparation| quality,Architectural Services,"Architecture , Interior Design","Construction, Engineering, Cement, Metals"
Senior Design Engineer, Not Disclosed by Recruiter ,5 - 10 yrs, pnr| primetime| sta| floorplan| timing closure| synthesis| vlsi| Physical design| floor planning,Engineering Design,"Engineering Design , R&D","Semiconductors, Electronics"
Purchase Executive,"4,25,000 - 4,75,000 PA.",10 - 12 yrs, Assistant Manager Purchase,Purchase/Material Management,"Supply Chain , Logistics , Purchase , Materials","Electricals, Switchgears"
Software Developer, Not Disclosed by Recruiter ,5 - 8 yrs, SQL| Python| Analytics| Machine learning| Solution architecture| Analytical| SCALA| Cosmos| Programming| Data warehousing,Programming & Design,"IT Software - Application Programming , Maintenance","Recruitment, Staffing"
Quality Assurance/Quality Control Manager,"5,50,000 - 10,00,000 PA.",3 - 6 yrs, BPO| Transactional Quality| Quality Management| Quality manager| manager Quality,Quality,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS"
Technical Support Engineer, Not Disclosed by Recruiter ,5 - 8 yrs, IIS| Exchange Server| Windows Server| WSS| Sharepoint| Active Directory,Admin/Maintenance/Security/Datawarehousing,"IT Software - Network Administration , Security",IT-Hardware & Networking
Sales/Business Development Manager,"8,00,000 - 12,00,000 PA.",7 - 12 yrs, pharma chemicals| business development| api| intermediates| sales,Corporate Sales,"Sales , Retail , Business Development","Chemicals, PetroChemical, Plastic, Rubber"
Team Lead/Technical Lead,"5,00,000 - 15,00,000 PA.",5 - 9 yrs, Hibernate| Design Patterns| Cloud| Spring Boot| Team Leader| core java| Web Services| Microservices,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services"
DBA, Not Disclosed by Recruiter ,10 - 20 yrs,Exadata| performance tuning| 11g| patching| sql| dataguard| rac| cassandra| oracle database| Weblogic| ebs| asm| apps dba| cloning,Admin/Maintenance/Security/Datawarehousing,"IT Software - DBA , Datawarehousing","IT-Software, Software Services"
Pharmacist/Chemist/Bio Chemist, Not Disclosed by Recruiter ,2 - 7 yrs, hospital| pharma| pharmacy,R&D,"Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology","Medical, Healthcare, Hospitals"
Sales/Business Development Manager,"2,00,000 - 4,00,000 PA.",2 - 7 yrs, Sales| insurance sales| agency sales| Direct sales| life advisor| channel sales| life insurance advisor| life insurance| agency,Retail Sales,"Sales , Retail , Business Development",Insurance
Technical / Process Trainer,"1,00,000 - 4,00,000 PA.",2 - 5 yrs, Training Needs| Soft Skills| Accent| HR| Feedback| Coaching| Customer Service| Process Compliance,Teachers,"Teaching , Education , Training , Counselling","BPO, Call Centre, ITeS"
Project Manager-Production/Manufacturing/Maintenance,"4,00,000 - 8,00,000 PA.",10 - 20 yrs, Real Estate Construction| Project Management| Interpersonal Communication| Communication Skills| Project Manager| Project Coordinator| site coordinator,Production/Manufacturing/Maintenance,"Production , Manufacturing , Maintenance","Real Estate, Property"
Associate/Senior Associate -(NonTechnical), Not Disclosed by Recruiter ,0 - 3 yrs, international bpo| Chat Process| voice based process| tele caller| process developer| Sales| b.a| exl| communication skills| Ba| Blended Process| bba| wipro| tcs| bbm| customer support| bcom| cse| accenture| Fresher| wns,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","KPO, Research, Analytics"
Customer Support Engineer/Technician, Not Disclosed by Recruiter ,1 - 5 yrs, project support| Banking| Maya| E-commerce| big data,Technical Support,"IT Hardware , Technical Support , Telecom Engineering","IT-Software, Software Services"
System Administrator, Not Disclosed by Recruiter ,1 - 6 yrs, Networking| It Asset| Antivirus| Hardware Troubleshooting,Admin/Maintenance/Security/Datawarehousing,"IT Software - Application Programming , Maintenance","Education, Teaching, Training"
Purchase/Vendor Development Manager, Not Disclosed by Recruiter ,2 - 7 yrs, Procurement| Business process| IT services| Automation| data services| Master data management| Consulting| Vendor| Troubleshooting| Business Executive,Purchase/Material Management,Purchase / Logistics / Supply Chain,"IT-Software, Software Services"
Associate/Senior Associate -(NonTechnical), Not Disclosed by Recruiter ,1 - 4 yrs, Recruitment| Outbound| Technical support| English| Comp| Email| Troubleshooting| Domestic BPO| International BPO| Inbound calls,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services"
Graphic/Web Designer, Not Disclosed by Recruiter ,3 - 8 yrs, Photoshop| Illustrator| Fine arts| Software design| User interface designing| game development| creative content| Supervision| Relationship Executive| Business Executive,Programming & Design,IT Software - Telecom Software,"Animation, Gaming"
Associate/Senior Associate -(NonTechnical), Not Disclosed by Recruiter ,5 - 8 yrs, marketing| project management| PR| project planning,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","Education, Teaching, Training"
Project Manager-IT/Software, Not Disclosed by Recruiter ,2 - 5 yrs, Leadership training| Software development life cycle| Management,Project Management,"Site Engineering , Project Management","IT-Software, Software Services"
Software Developer, Not Disclosed by Recruiter ,6 - 8 yrs, Python| Six Sigma| PMP| .NET| HTML| JavaScript| SQL| Oracle| assembly language| Real Time Operating Systems,Programming & Design,"IT Software - Application Programming , Maintenance","BPO, Call Centre, ITeS"
Subject Matter Expert,"15,00,000 - 22,50,000 PA.",12 - 16 yrs, apache camel| Administration| Technical Support| redhat| Activemq,System Design/Implementation/ERP/CRM,"IT Software - Application Programming , Maintenance","IT-Software, Software Services"
Branch Manager/Regional Manager, Not Disclosed by Recruiter ,3 - 7 yrs, customer profiling| market research| sales executive| marketing executive| distributors| sales strategy| Business Development,Corporate Sales,"Sales , Retail , Business Development","Recruitment, Staffing"
Product/Brand Manager, Not Disclosed by Recruiter ,4 - 7 yrs, customer segmentation| Brand management| Strategic partnerships| Brand marketing| Consumer insights| Performance appraisal| Operations| Promotional strategies| Marketing strategy| Recruitment,Marketing,"Marketing , Advertising , MR , PR , Media Planning","FMCG, Foods, Beverage"
Functional Outside Consultant, Not Disclosed by Recruiter ,6 - 11 yrs, Negotiation| Marine Operation| Oracle Fusion| Manufacturing| Inventory,System Design/Implementation/ERP/CRM,"IT Software - ERP , CRM","IT-Software, Software Services"
Safety Officer/Manager,"50,00,000 - 1,00,00,000 PA.",17 - 27 yrs, Fire Safety| fire| Senior Management,Safety/Health/Environment,"Production , Manufacturing , Maintenance","Real Estate, Property"
Software Developer, Not Disclosed by Recruiter ,5 - 10 yrs, Unix| data science| SQL| Linux| SAS| HTML| Perl| SDLC| Android| Python,Programming & Design,"IT Software - Application Programming , Maintenance","Medical, Healthcare, Hospitals"
"Equipment installation, calibration, validation and maintenance. Maintain the master list for preventive maintenance and calibration of GLP AND NONGLP Instruments Preparing the IQ,OQ,PQ Documentation for new equipment during installation Attend and rectifying the CENTRIFUGE,CO2 INCUBATOR ,HPLC, CENTRIFUGE, CELLCOUNTER, HPLC, ROTAVAPORS, INCUBATORS, WATER PURIFICATION SYSTEMS, FPLC breakdown issues Attend and rectifying the HPLC breakdown issues Coordinating with Vendors, Projects team, Validation team and end-users for installation and qualification (IQ, OQ and PQ) of all the Biologics department equipment. Zero down time maintenance of all laboratory department equipment. Maintaining stock of equipment accessories, spares and consumables as per requirement. To assist, attend and Execute Preventive Maintenance/Breakdown Maintenance for Various Biology and Analytical equipment. Attend breakdown Maintenance calls and Perform routine Preventive Maintenance for Instruments like CENTRIFUGE, CELLCOUNTER, HPLC, ROTAVAPORS, INCUBATORS, WATER PURIFICATION SYSTEMS, HEATING STIRRERS, FLASH CHROMATOGRAPHY SYSTEMS AND VARIOUS BIO-ANALYTICAL INSTRUMENTS IN JUBILANT BIOSYS. Working with Scientists to ensure smooth running of the Equi Salary: Not Disclosed by Recruiter Industry: Pharma / Biotech / Clinical Research Functional Area: Other Employment Type: Full Time, Permanent",Openings: 2,3 - 7 Years,Installation|Breakdown Maintenance|Preventive Maintenance,"Equipment installation, calibration, validation and maintenance. Maintain the master list for preventive maintenance and calibration of GLP AND NONGLP Instruments Preparing the IQ,OQ,PQ Documentation for new equipment during installation Attend and rectifying the CENTRIFUGE,CO2 INCUBATOR ,HPLC, CENTRIFUGE, CELLCOUNTER, HPLC, ROTAVAPORS, INCUBATORS, WATER PURIFICATION SYSTEMS, FPLC breakdown issues Attend and rectifying the HPLC breakdown issues Coordinating with Vendors, Projects team, Validation team and end-users for installation and qualification (IQ, OQ and PQ) of all the Biologics department equipment. Zero down time maintenance of all laboratory department equipment. Maintaining stock of equipment accessories, spares and consumables as per requirement. To assist, attend and Execute Preventive Maintenance/Breakdown Maintenance for Various Biology and Analytical equipment. Attend breakdown Maintenance calls and Perform routine Preventive Maintenance for Instruments like CENTRIFUGE, CELLCOUNTER, HPLC, ROTAVAPORS, INCUBATORS, WATER PURIFICATION SYSTEMS, HEATING STIRRERS, FLASH CHROMATOGRAPHY SYSTEMS AND VARIOUS BIO-ANALYTICAL INSTRUMENTS IN JUBILANT BIOSYS. Working with Scientists to ensure smooth running of the Equi Salary: Not Disclosed by Recruiter Industry: Pharma / Biotech / Clinical Research Functional Area: Other Employment Type: Full Time, Permanent","Other Employment Type: Full Time, Permanent",Pharma / Biotech / Clinical Research
Customer Support Engineer/Technician, Not Disclosed by Recruiter ,1 - 2 yrs, dot matrix| printer| printer support| Laserjet| Hardware,Technical Support,"IT Hardware , Technical Support , Telecom Engineering",IT-Hardware & Networking
