Job Title,Job Salary,Job Experience Required,Key Skills,Role Category,Functional Area,Industry
Project Manager-IT/Software, Not Disclosed by Recruiter ,8 - 10 yrs, Java| JPA| Hibernate| Project Management| JDBC| Scrum Master| Microservices| Agile| SOAP| Rest,Project Management,"IT Software - Application Programming , Maintenance","IT-Software, Software Services"
Software Developer, Not Disclosed by Recruiter ,6 - 8 yrs,Java| java api| Banking| j2ee| API| finance| core java| microservices,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services"
Project Lead, Not Disclosed by Recruiter ,2 - 7 yrs,GIS| ISO 27001| HR| information system| process| ISO 9001| Information security management| GIS software| Management| Edge,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services"
Logistics Executive, Not Disclosed by Recruiter ,2 - 5 yrs, Administration| Administrative Support| Contract Logistics| Staff Development| Site Management| Quality Improvement| warehousing| Warehouse Operations,Logistics,Purchase / Logistics / Supply Chain,"Courier, Transportation, Freight , Warehousing"
Accounts Executive/Accountant, Not Disclosed by Recruiter ,2 - 3 yrs, filing| tds| service industry| pf| esi| returns| coaching| payroll| invoice| tally,Accounts,"Accounts , Finance , Tax , Company Secretary , Audit","Security, Law Enforcement"
Associate/Senior Associate -(NonTechnical), Not Disclosed by Recruiter ,0 - 3 yrs, Outbound| Antivirus| Technical support| Sales| Spot| Inbound calls| pay| Medical| Comp,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services"
Technical Support Manager, Not Disclosed by Recruiter ,15 - 20 yrs, Troubleshooting| DNS| DHCP| Monitoring| Virtualization| Shell scripting| Python| VMS| Open source| Archiving,Technical Support,"IT Hardware , Technical Support , Telecom Engineering","IT-Software, Software Services"
Technical Architect, Not Disclosed by Recruiter ,10 - 16 yrs,4G| 3GPP| 3G| System Architect| LTE| Radio Access Network| PhD| IEEE,Programming & Design,"IT Software - Network Administration , Security","IT-Software, Software Services"
Software Developer, Not Disclosed by Recruiter,2 - 7 Years,arm processor|c|device drivers|embedded linux|linux kernel|ipc,Programming & Design,"IT Software - Application Programming , Maintenance",IT-Software / Software Services
Sales/Business Development Manager, Not Disclosed by Recruiter ,0 - 3 yrs, market| presentation| strong analytical skills| english| presentation skills| developing| customer interaction,Institutional Sales,"Sales , Retail , Business Development","IT-Software, Software Services"
Associate/Senior Associate -(NonTechnical),"1,00,000 - 4,00,000 PA.",1 - 4 yrs, fixed assets| accounts payable| record to report| general accounting| general ledger,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS"
Regional Manager, Not Disclosed by Recruiter ,3 - 6 yrs, Team management| Regional sales| Management,Retail Sales,"Sales , Retail , Business Development","Strategy, Management Consulting Firms"
Head / VP/ GM/ National Manager After Sales, Not Disclosed by Recruiter ,10 - 15 yrs, Commercial Activities| Commercial Sales| Online Sales| Senior Management| Budgeting| Strategy Implementation| Marketing| E - commerce,Senior Management,"Sales , Retail , Business Development","Internet, Ecommerce"
Software Developer, Not Disclosed by Recruiter ,5 - 10 yrs, ODI| Matrix,Programming & Design,"IT Software - DBA , Datawarehousing","IT-Software, Software Services"
Software Developer, Not Disclosed by Recruiter ,2 - 4 yrs, javascript| sql| php| php mysql| css| software development| technical| photoshop| mca| ajax| jquery| application| web| design| mysql| html,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services"
Associate/Senior Associate -(NonTechnical), Not Disclosed by Recruiter ,5 - 8 yrs, Relationship management| Relationship building| Client relationship| Training| Analytical skills| Process mapping| Standard operating procedures| Agile| Management| Visa processing,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","Education, Teaching, Training"
Software Developer, Not Disclosed by Recruiter ,2 - 5 yrs, android| btech| iphone| server| analytical| developing| ios| platforms| objective c| web| xml| design| json| programming| development| c| testing| mobile| xcode| application development| eclipse| application| sdk| applications,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services"
Associate/Senior Associate -(NonTechnical),"2,00,000 - 3,75,000 PA.",1 - 4 yrs, cca| bpo| csr| international bpo| customer service| outbound process| customer care| tourism| customer support| fresher| voice process| inbound process| cse| bpo fresher| voice support| hotel| travel,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS"
Software Developer, Not Disclosed by Recruiter ,2 - 5 yrs, bca| graphics| application development| b tech| core| b sc| application| b e| ios| publishing| animation,Programming & Design,IT Software - Mobile,"IT-Software, Software Services"
Team Leader -(NonTechnical), Not Disclosed by Recruiter ,8 - 13 yrs, Accounting| Continuous Improvement| Process Improvement| Load Balancing| Lean Six Sigma| Black Belt| Training| Green Belt| Process re - engineering| Process Excellence| Business Excellence| OTC,Back Office/Web/Transaction Processing,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS"
Content Developer,"4,00,000 - 6,00,000 PA.",3 - 8 yrs, Automobile| Digital Content| Content Development| Production| Web Content Writing,Content Development,"Journalism , Editing , Content","Media, Entertainment, Internet"
Sales/Business Development Manager,"10,00,000 - 12,00,000 PA.",6 - 10 yrs, Tourism| target achievement| negotiation skills| revenue management| Tour Packages,Retail Sales,"Sales , Retail , Business Development","Aviation, Aerospace, Aeronautical"
Software Developer, Not Disclosed by Recruiter ,1 - 5 yrs, PHP| Networking| Data structures| HTTP| JSON| Software design| Computer science| System design| Backend| Ticketing,Programming & Design,"IT Software - Application Programming , Maintenance","Internet, Ecommerce"
DBA, Not Disclosed by Recruiter ,2 - 5 yrs, WebLogic| configuration| MySQL| installation| Oracle DBA| troubleshooting| Oracle RAC,Admin/Maintenance/Security/Datawarehousing,"IT Software - DBA , Datawarehousing","IT-Software, Software Services"
HR Executive, Not Disclosed by Recruiter ,1 - 4 yrs, Service level| Data management| HR Coordinator| Management audit| HR operations| Human resource management,HR/ Recruitment / IR,"HR , Recruitment , Administration , IR","Industrial Products, Heavy Machinery"
Software Developer, Not Disclosed by Recruiter ,5 - 10 yrs, Graphics| C++| Windows OS| Linux| high performance computing| Test cases| System software| Gaming| FreeBSD,Programming & Design,"IT Software - Application Programming , Maintenance","Telcom, ISP"
Head/VP/GM/National Manager -Sales, Not Disclosed by Recruiter ,7 - 12 yrs, Sales| Team Building| Strategic Leadership| Real Estate| Field Sales| Sales Strategy| Enterprise Business| Go - to - market Strategy| Enterprise sales| Sales Executive Activities| Marketing,Senior Management,"Sales , Retail , Business Development","Real Estate, Property"
Centre Head / Branch Head / Club Manager, Not Disclosed by Recruiter ,2 - 5 yrs, Facility Management| facility services,Health & Fitness,Beauty / Fitness / Spa Services,Facility Management
Associate/Senior Associate -(NonTechnical),"3,00,000 - 7,00,000 PA.",1 - 5 yrs,sds| radiology| CPT| icd - 10| EM| medical coding| coders| surgery| ed,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS"
Sales/Business Development Manager, Not Disclosed by Recruiter ,5 - 7 yrs, Market analysis| Public relations| CV| Relationship building| Market intelligence| Prospecting| Budgeting| Sales process| Branding,Retail Sales,"Sales , Retail , Business Development","Recruitment, Staffing"
HR Executive, Not Disclosed by Recruiter ,0 - 2 yrs, ERP| MIS| Succession Planning| Reports| Talent Management| Human Resources| HR Policies| Recruitment| Talent Acquisition,HR/ Recruitment / IR,"HR , Recruitment , Administration , IR","IT-Software, Software Services"
Sales/Business Development Manager, Not Disclosed by Recruiter ,4 - 9 yrs, revenue generation| marketing| ad sales| web technologies,Corporate Sales,"Sales , Retail , Business Development","Internet, Ecommerce"
Project Architect, Not Disclosed by Recruiter ,1 - 2 yrs, co ordination| team management| drafting| loans| online| coordination| quality,Architectural Services,"Architecture , Interior Design","BPO, Call Centre, ITeS"
Software Developer, Not Disclosed by Recruiter ,3 - 4 yrs, English| PHP| XML| DOM| SOAP| Com| Web technologies| Written communication| Email| Time,Programming & Design,IT Software - Other,"Recruitment, Staffing"
System Analyst, Not Disclosed by Recruiter ,6 - 11 yrs, cloud| puppet| python| git| KVM| linux| jenkins| openstack| ansible,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services"
Software Developer, Not Disclosed by Recruiter ,4 - 8 yrs,National| Branch| Vice President| J2Ee| Software,Programming & Design,"IT Software - Application Programming , Maintenance","Strategy, Management Consulting Firms"
Software Developer, Not Disclosed by Recruiter ,1 - 5 yrs, Mentor| Android| Consulting| Usage| development| software| mobile| it| SIDE| Front end| Web technologies| Coding| web| backend| Open source| programming| Investment,Programming & Design,"IT Software - Embedded , EDA , VLSI , ASIC , Chip Design","IT-Software, Software Services"
Testing Engineer, Not Disclosed by Recruiter ,3 - 8 yrs, Performance Testing| Software Testing| Manual Testing| Quality Testing,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services"
Associate/Senior Associate -(NonTechnical),"1,75,000 - 3,00,000 PA.",0 - 5 yrs, international bpo| bpo| kpo| web chat| non voice process| e mail| international call center| customer service representative| cse| interpersonal skills| ites| uk shift| customer service| e - commerce| customer care| customer support| bpo fresher,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS"
Front Office/Guest Relations Executive/Manager, Not Disclosed by Recruiter ,2 - 4 yrs, Innovative| Aggressive,Front Office/Customer Care,"Hotels , Restaurants","Travel , Hotels , Restaurants , Airlines , Railways"
Design Engineer, Not Disclosed by Recruiter ,7 - 12 yrs, Communication Skills| Detail Engineering| Material Handling| AutoCAD| Detailing| Design Engineering| Microstation| Bid Evaluation,Engineering Design,"Engineering Design , R&D","Oil and Gas, Energy, Power, Infrastructure"
Software Developer, Not Disclosed by Recruiter ,1 - 3 yrs, design| android| erp| software| mvc| quality,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services"
Technical Writer, Not Disclosed by Recruiter ,4 - 7 yrs, Technical Writing| Technical Documentation| Articles| Writing Skills| Product Support,QA/Testing/Documentation,"IT Software - eCommerce , Internet Technologies","IT-Software, Software Services"
Design Engineer, Not Disclosed by Recruiter ,3 - 7 yrs, Ansys| thermal| MATLAB| System design| Recruitment| MCCB| Electricals,Engineering Design,"Engineering Design , R&D","Recruitment, Staffing"
Sales/Business Development Manager, Not Disclosed by Recruiter ,2 - 6 yrs, Product placement| Market research| Distributor handling| Business Development Executive| Customer service| Customer Service Executive| Secondary sales| Supervision,Retail Sales,"Sales , Retail , Business Development","Textiles, Garments, Accessories"
Accounts Executive/Accountant, Not Disclosed by Recruiter ,1 - 6 yrs, Management accounting| Accounting| VAT| Book Keeping| SAGE| Tax returns,Accounts,"Accounts , Finance , Tax , Company Secretary , Audit","Recruitment, Staffing"
Sales/Business Development Manager,"5,00,000 - 7,50,000 PA.",2 - 7 yrs, Trade| Forex Trading| Forex| fx| Lead Generation| Accounting| Banking| Revenue Generation| Current Account,Retail Sales,"Sales , Retail , Business Development","Banking, Financial Services, Broking"
Software Developer, Not Disclosed by Recruiter ,1 - 5 yrs, XML| Javascript| PHP| development| css| technical| analytical| software| testing| HTML| tools| Joomla| coding| jQuery| web| MySQL| Wordpress| design| XHTML| debugging| Ajax,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services"
Engineering Manager, Not Disclosed by Recruiter ,12 - 22 yrs, zld| Engineering Management| knitting,Production/Manufacturing/Maintenance,"Production , Manufacturing , Maintenance","Textiles, Garments, Accessories"
Accounts Executive/Accountant, Not Disclosed by Recruiter ,0 - 3 yrs, Analyst| ERP| Change management| Business objects| Managed services| Business process mapping| Executive management| Data mining| oracle project accounting| Testing,Accounts,"Accounts , Finance , Tax , Company Secretary , Audit","IT-Software, Software Services"
Training Manager, Not Disclosed by Recruiter ,8 - 12 yrs, ERP| Succession Planning| MIS| Reports| Talent Management| Human Resources| HR Policies| Recruitment| Talent Acquisition,HR/ Recruitment / IR,"HR , Recruitment , Administration , IR","Construction, Engineering, Cement, Metals"
Software Developer, Not Disclosed by Recruiter ,0 - 1 yrs, Intern| Linux| Windows| Unix| DNS| C++| Perl| IIS| Redhat| HTTP,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services"
Software Developer, Not Disclosed by Recruiter ,2 - 5 yrs, C| Woocommerce| Magento| Wordpress| MySQL| PHP| Shopify| JQuery| Web Development| Ajax,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services"
Software Developer, Not Disclosed by Recruiter ,1 - 2 yrs, CSS| Singleton| XML| Javascript| JDBC| Struts| JSON| HTML| Spring Boot| JQuery,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services"
Sales/Business Development Manager, Not Disclosed by Recruiter ,15 - 22 yrs, Business Development Management| Bd| Marketing| business development| Projects| business development manager| bdm| Tendering| Proposal,Corporate Sales,"Sales , Retail , Business Development","Construction, Engineering, Cement, Metals"
Testing Engineer, Not Disclosed by Recruiter ,8 - 10 yrs, Ethical Hacking| Certified Ethical Hacker| Networking Protocols| Penetration Testing| Nessus| NMAP| Fortify| Vulnerability Assessment| Appscan| Qualys,Programming & Design,IT Software - QA & Testing,"IT-Software, Software Services"
Graphic Designer, Not Disclosed by Recruiter ,2 - 7 yrs, Graphic designing| Graphics| adobe creative suite| Architecture| MS Office| Business Executive,Creative,"Design , Creative , User Experience","Architecture, Interior Design"
Sales Executive/Officer, Not Disclosed by Recruiter ,1 - 3 yrs, Payment collection| Costing| Business Development Executive| Lead generation| Sales| Vendor| Cost,Corporate Sales,"Sales , Retail , Business Development","Recruitment, Staffing"
Client Servicing Executive, Not Disclosed by Recruiter ,2 - 6 yrs, Internship| Digital marketing| Social media| Relationship building| Animation| Creative| Indesign| Business Executive| Presentation skills| Senior,Advertising,"Marketing , Advertising , MR , PR , Media Planning","Advertising, PR, MR, Event Management"
Sales Executive / Officer,Openings: 1,1 - 3 Years,market penetration|marketing|customer satisfaction|enterprise business|web technologies|business development|strategy|aws|sales,Channel Sales,"Sales , Retail , Business Development",IT-Software / Software Services
Software Developer, Not Disclosed by Recruiter ,2 - 5 yrs, jquery| git| microsoft sql server| net asp net| software| testing| ado.net| microsoft| tools| sql| unit tests| database| application| web| design| .net| object oriented programming| support| programming,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services"
Recruitment Executive, No bar for right candidate ,1 - 5 yrs,technical recruitment| us staffing| us recruitment| us recruiter| us it staffing| technical recruiter| it recruiter| recruiter| w2| c2c| talent acquisition| recruitment| staffing| sourcing,HR/ Recruitment / IR,"HR , Recruitment , Administration , IR","Recruitment, Staffing"
Sales Coordinator,"3,00,000 - 5,00,000 PA.",2 - 4 yrs, Project Administration| Coordination,Sales Support,"Sales , Retail , Business Development","Industrial Products, Heavy Machinery"
Solution Architect / Enterprise Architect, Not Disclosed by Recruiter ,5 - 10 yrs, Order Management system| Sterling Commerce| Sterling| OMS| Sterling Integrator| ecommerce| E - commerce,System Design/Implementation/ERP/CRM,"IT Software - eCommerce , Internet Technologies","IT-Software, Software Services"
Software Developer, Not Disclosed by Recruiter ,3 - 5 yrs, analytical| documentation| web development| algorithms| development| javascript| sql server| jquery| database| web| flex| design| mysql| net,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services"
Workman/Foreman/Technician, Not Disclosed by Recruiter ,4 - 8 yrs, NCTVT,Production/Manufacturing/Maintenance,"Production , Manufacturing , Maintenance","Internet, Ecommerce"
Software Developer, Not Disclosed by Recruiter ,8 - 13 yrs, Drupal| Application programming| MySQL| Wordpress| PHP| CakePHP| Team Leader| MVC| Zend| Software services,Programming & Design,"IT Software - Application Programming , Maintenance","Recruitment, Staffing"
Sales Executive/Officer, Not Disclosed by Recruiter ,3 - 7 yrs, Outbound| Sales| Project management| Analytical| Sales Lead| Automation tools| Sales process| marketing automation,Retail Sales,"Sales , Retail , Business Development","Internet, Ecommerce"
Design Engineer/Manager, Not Disclosed by Recruiter ,6 - 8 yrs,AutoCAD| 3D Modeling| FMEA| Mechanical Engineering| Mechanical Design| SolidWorks,Production/Manufacturing/Maintenance,"Production , Manufacturing , Maintenance","Industrial Products, Heavy Machinery"
Technical Lead/Project Lead, Not Disclosed by Recruiter ,3 - 5 yrs, Automation Engineer,Engineering Design,"Engineering Design , R&D","Industrial Products, Heavy Machinery"
Team Leader -(NonTechnical),"3,75,000 - 8,75,000 PA.",5 - 10 yrs, Revenue Cycle Management| US Healthcare| Payment Posting| Medical Billing| Medical Coding| us visa| Team Leading Skills| Healthcare| Denial Management| RCM,Back Office/Web/Transaction Processing,"ITES , BPO , KPO , LPO , Customer Service , Operations","Medical, Healthcare, Hospitals"
Quality Assurance/Quality Control Executive, Not Disclosed by Recruiter ,2 - 6 yrs, Voice process| qaqc| Writing| Process operations| Verbal,Quality,"ITES , BPO , KPO , LPO , Customer Service , Operations","Internet, Ecommerce"
Analytics Manager, Not Disclosed by Recruiter ,4 - 9 yrs, Predictive Modeling| SAS| Data Management| Data Mining| Tableau| Data Analytics| Statistics| Analytics| SQL| Python,Analytics & BI,Analytics & Business Intelligence,"IT-Software, Software Services"
Trainee, Not Disclosed by Recruiter ,0 - 0 yrs, molecular biology| chemistry| biotechnology| bhms| biology| Physiotherapy| microbiology| nursing| biomedical| Physics| medical coding| biochemistry| pharmacy| Ophthalmology| micro biology| Bioinformatics| zoology| biotech,Other,"ITES , BPO , KPO , LPO , Customer Service , Operations","Medical, Healthcare, Hospitals"
Accounts Executive/Accountant, Not Disclosed by Recruiter ,3 - 5 yrs, accounts executive| accountant| Stock Management| gst| auditing| Statutory Compliance| accounting| Account Assistant| Bank Reconciliation| tax audit| banking| monthly reports| Payroll| salary processing| income tax| Income Tax Return| taxation,Accounts,"Accounts , Finance , Tax , Company Secretary , Audit","Architecture, Interior Design"
Software Developer, Salary based on % ,1 - 6 yrs, Informatica Power Center| Informatica,Programming & Design,"IT Software - DBA , Datawarehousing","IT-Software, Software Services"
Search Engine Optimisation /SEO Specialist,"2,25,000 - 4,25,000 PA.",2 - 4 yrs, digital marketing| seo specialist| advertising agency| online marketing| seo| seo expert| facebook marketing,Online/Digital Marketing,"Marketing , Advertising , MR , PR , Media Planning","Advertising, PR, MR, Event Management"
Engineering Manager,"2,00,000 - 3,75,000 PA.",5 - 10 yrs, Validation| Installation| Breakdown Maintenance| Industrial Safety| gmp| Boiler| Design| HVAC| Gensets| Air Compressor| Breakdown| RO| who,Production/Manufacturing/Maintenance,"Production , Manufacturing , Maintenance","Pharma, Biotech, Clinical Research"
Financial Analyst, Not Disclosed by Recruiter ,5 - 10 yrs, Forecasting,Finance/Audit,"Accounts , Finance , Tax , Company Secretary , Audit","Oil and Gas, Energy, Power, Infrastructure"
PPC /Pay Per Click Specialist, Not Disclosed by Recruiter ,3 - 7 yrs, Pay Per Click| Google AdWords| Search Engine Marketing| PPC| SEM| Google Analytics| Website Analysis| Yahoo| Web Analytics| Marketing Initiatives,Online/Digital Marketing,"Marketing , Advertising , MR , PR , Media Planning","IT-Software, Software Services"
Medical Representative,"2,00,000 - 3,00,000 PA.",0 - 2 yrs, marketing officer| pharma sales| Marketing Representative| marketing executive| pharma marketing| sales officer| sales representative| business development executive| Fresher| trainee| sales executive,Retail Sales,"Sales , Retail , Business Development","Pharma, Biotech, Clinical Research"
Project Manager-Production/Manufacturing/Maintenance, Not Disclosed by Recruiter ,2 - 6 yrs, Project management| PPAP| Automotive| External audit| Conflict resolution| Resource mobilization| PFMEA| Risk management| Project life cycle,Production/Manufacturing/Maintenance,"Production , Manufacturing , Maintenance","Industrial Products, Heavy Machinery"
Public Relations & Media Relations Manager,"8,00,000 - 12,00,000 PA.",6 - 11 yrs, PR| Public Relations| Media Relations| Social Media| Marketing Communication| corporate communication| media relation| corp comm| Online Media| public relation| Journalism| Advertising| mass communication,Public Relations,"Marketing , Advertising , MR , PR , Media Planning","Advertising, PR, MR, Event Management"
Fresher, Not Disclosed by Recruiter ,0 - 1 yrs, counselling| couselling| fresher| student counsellor| student counseling,Other,"ITES , BPO , KPO , LPO , Customer Service , Operations","Education, Teaching, Training"
Fresher, Not Disclosed by Recruiter ,0 - 2 yrs, Help Desk| Customer Service| customer relationship| access controls| Asset Management| Vendor Management,Other,"Production , Manufacturing , Maintenance","Recruitment, Staffing"
Software Developer, Not Disclosed by Recruiter ,2 - 7 yrs, asp dot net| .net developer| Dot Net Developer| asp.net| asp . net,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services"
Other, Not Disclosed by Recruiter ,0 - 4 yrs, Secondary Research| Valuation| Finance| Real Estate| Primary| Report Preparation| Business Development| Due Diligence| Financial Modelling,Other,Analytics & Business Intelligence,"Real Estate, Property"
Lecturer/Professor, Not Disclosed by Recruiter ,10 - 12 yrs, Teaching| Educator| Counselor| Mentor| Trainer| Advisor,University Level,"Teaching , Education , Training , Counselling","Education, Teaching, Training"
Documentation/Medical Writing, Not Disclosed by Recruiter ,3 - 5 yrs, X - Ray| Medical Transcription| Ultrasound| CT Scan,Drug Regulatory Affairs/Documentation,"Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology","Medical, Healthcare, Hospitals"
Software Developer, Not Disclosed by Recruiter ,0 - 3 yrs, cms| javascript| wordpress| drupal| joomla| ajax| cakephp| zend| knowledge| xhtml,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services"
Sales/Business Development Manager, Not Disclosed by Recruiter ,1 - 2 yrs, Sales| Management| Sales management| Educational sales,Retail Sales,"Sales , Retail , Business Development","Education, Teaching, Training"
Associate/Senior Associate -(NonTechnical), Not Disclosed by Recruiter ,1 - 5 yrs, Outbound| Antivirus| Technical support| Technical Support Associate| process| Sales| Inbound calls| US shift| Comp,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services"
